Name,Company,Rating,Skills,Salary,Location,Exp,Job_Description,Reviews,Date,Page_count
UI/UX Designer,Not Available,Not Available,"Figma, Adobe Xd, Invision, Wireframing, Illustrator, Usability Testing, Social Media, Canva",2.4-3.6 Lacs PA,Gurugram,0-2 Yrs,"Responsibilities:Design responsive web/mobile interfacesCreate wireframes, prototypes, ...",Not Available,1 Day Ago,2
Jewellery Designer,Rathod Jewellery Manufacturing Pvt Ltd.,4.7,"jewelry design, Corel Draw, Corel, Jewellery, Design, Draw, Jewelry",3-7 Lacs PA,"Kolhapur, Jaipur",2-7 Yrs,Develop innovative jewelry designs based on client requirements and market trends. Crea...,2  Reviews,1 Day Ago,2
CAD Designer,Rathod Jewellery Manufacturing Pvt Ltd.,4.7,"Matrix, Rhino, Fresher, CAD, Design, CAD drawing",2-7 Lacs PA,"Kolhapur, Jaipur",0-5 Yrs,Responsible for creating accurate and high-quality 2D and 3D jewelry designs using indu...,2  Reviews,1 Day Ago,2
Urgent Hiring Architect,Not Available,Not Available,"Architecture, RERA Knowledge, SketchUp, Auto Cadd, MS Office, Photoshop, Auto, Microsoft",5-7 Lacs PA,"Noida, Ghaziabad, Greater Noida",5-7 Yrs,"*Should have worked on Commercial projects, PEB structures *Thorough knowledge of Arc, ...",Not Available,1 Day Ago,2
Architect & Sr. Architect,VTP Realty,3.7,"Architecture, Sketchup, High Rise Building, Residential, REVIT Architecture, Working Drawings, High Rise, Architectural Design",5-15 Lacs PA,Pune(Viman Nagar),6-11 Yrs,Education : Bachelors or Masters in Architecture a strong portfolio is a must licensed ...,285  Reviews,1 Day Ago,2
Inside Sales Executive,SLIDO,4.4,"Inside Sales, Communication Skills, Crm Software, Sales, CRM, Software",1.5-5 Lacs PA,Hyderabad(Madhapur +1),2-5 Yrs,Proficiency of working with CRM systems will be an advantagePreferred candidate profile...,12  Reviews,1 Day Ago,2
Business Development Manager,SLIDO,4.4,"Field Sales, B2B Sales, CRM, Field, B2B, Development, Management, Sales",1.25-6 Lacs PA,Hyderabad(Madhapur +1),2-7 Yrs,Maintain regular updates on the sales pipeline in the CRM and provide any additional re...,12  Reviews,1 Day Ago,2
3D visualiser,Not Available,Not Available,"Sketchup, Rendering, VRAY, Photoshop, Autodesk 3ds Max, Visualiser, 3ds Max, 3D Studio Max",2.5-4.5 Lacs PA,Mumbai(Borivali East),2-4 Yrs,"The ideal candidate should have a strong eye for design and composition, and be capable...",Not Available,1 Day Ago,2
Illustrator / 2D animator,Prashant Advait Foundation,2.2,"Illustrator, Animated Content, Animation, Adobe Animate, Illustrator & Photoshop, Cartooning, 2D animation, Photoshop",5-15 Lacs PA,Hybrid - Greater Noida(Knowledge park),3-8 Yrs,Were looking for a passionate Illustrator and 2D Animation Artist who can conceptualize...,8  Reviews,1 Day Ago,3
Architect & Interior Designer || Lucknow,Not Available,Not Available,"Architect Interior Designer, architect, AutoCAD 3D, REVIT, AutoCAD 2D, 3Ds Max, structural autocad, Structural Draughtsman",2-5 Lacs PA,Lucknow,2-6 Yrs,"Bachelors degree in Architecture, Engineering",Not Available,1 Day Ago,3
Project Coordinator Team Lead,Not Available,Not Available,"Project Coordination, Communication Skills, Project Monitoring, Coordination, Project Tracking, Follow Ups, Project Scheduling, Scheduling",3.25-8.25 Lacs PA,"Noida, Mumbai(Mumbai Central), Jaipur",2-7 Yrs,(apply only interior field)snehadaradehr@gmail.com Descr- communicate with subcontracto...,Not Available,1 Day Ago,3
Autocad Designer,Not Available,Not Available,"AutoCAD, Quote Preparation, Quote Management, AutoCAD Drawing, Autocad Drafting, Excel, Draft, Drawing",2.16-2.88 Lacs PA,Navi Mumbai,2-4 Yrs,Should be able to cater to Aluminium Windows and related products.Generate accurate dim...,Not Available,1 Day Ago,3
Graphic Designer,Zoetic Ayurvedics,2.7,"Packaging Design, Graphic Designing, Printing And Packaging, Artwork, Logo Design, Brochure Design, Logo, Brochures",Not disclosed,Ahmedabad,2-5 Yrs,We are seeking a creative and detail-oriented Graphic Designer to join our design team....,20  Reviews,1 Day Ago,3
Graphic Designer,Not Available,Not Available,"Visual Storytelling, Graphic Designing, Illustrator, Canva, Photoshop, Adobe Creative Suite, Adobe, Design",4-5 Lacs PA,Mumbai,3-5 Yrs,Experience: 3+ years in graphic design and branding,Not Available,1 Day Ago,3
3D Max Designer,Not Available,Not Available,"3Ds Max, RENDERING, Lighting, 3D MODELING, Texturing, 3D Studio Max, Design, 3D",5-6 Lacs PA,Hyderabad(Madhapur),4-5 Yrs,Proven experience in 3D modelling and animation using 3Ds MAXPreferred candidate profile,Not Available,1 Day Ago,3
Graphic Designer,Sayba Group,2.6,"Graphics, Graphic Designing, Corel Draw, Photoshop, Indesign, Design, Draw, Corel",3.5-6.5 Lacs PA,Mumbai(Kurla East),2-5 Yrs,Conceptualization and Design:Develop visual concepts to effectively communicate ideas ...,3  Reviews,1 Day Ago,3
Graphic Designer,Style Plus,4.0,"Photoshop, Illustrator, Corel Draw, Design, Graphic designing, Corel, Draw, Graphics",1-2.25 Lacs PA,Thiruvananthapuram,1-2 Yrs,Excellent communication skills and the ability to collaborate with team members. Profic...,4  Reviews,1 Day Ago,3
Graphic Designer,Not Available,Not Available,"Graphic Designing, graphic designer, Graphics, Design",2.5-3 Lacs PA,Kanpur,2-3 Yrs,"Should have good knowledge of Photo shop, Coral Draw & Illustrator",Not Available,1 Day Ago,3
Senior Interior Designer (Workspace design),AD Square Projects India,4.0,"Corporate Interiors, Sketchup, AutoCAD, AutoCAD 3D, Interiors, AutoCAD 2D, 3Ds Max, 2D Design",2.5-5 Lacs PA,Pune(Viman Nagar),Not Available,Must have experience into corporate fit-outs,7  Reviews,1 Day Ago,3
Video Editor,Not Available,Not Available,"Video Editing, Aftereffects, Illustrator, Videography, Premiere Pro, Davinci Resolve, Photoshop, Davinci",1-3.5 Lacs PA,"Pune, Belgaum",1-3 Yrs,Creating & editing videos as per Client brief & requirement that are aesthetically plea...,Not Available,1 Day Ago,3
Senior Interior Designer,Jaypee Infratech,3.8,"Interior Designing, 3D Max, SketchUp, AutoCAD, Interiors, Design, Senior, 3D",Not disclosed,Noida(Noida-Greater Noida Expressway),10-12 Yrs,Bachelors or masters degree in interior design or a related fieldProficiency in design ...,83  Reviews,1 Day Ago,3
Architect,Sugee Developers,3.7,"Architectural Design, Sketchup, CAD Drawing, REVIT Architecture, Concept Development, Concepts, Architecture, REVIT",Not disclosed,"Mumbai Suburban, Thane, Navi Mumbai",7-12 Yrs,Minimum 7+years of experience and delivering responsibilities of Architectural role in ...,47  Reviews,1 Day Ago,3
Graphic Designer,PSK Building Solutions,4.7,"Illustrator, Graphic Designing, Photoshop, Adobe Creative Suite, Indesign, Design Principles, Motion Graphics, Corel Draw",4.5-5.5 Lacs PA,Hyderabad(HITEC City),3-5 Yrs,Qualification: Any GraduateExperience: 3 to 5 years,3  Reviews,1 Day Ago,3
Architectural Draughtsman,Not Available,Not Available,"SketchUp, Interior Detailing, AutoCAD, Architectural Drafting, Working Drawings, Rhino, enscape, Lumion",2-2.25 Lacs PA,Kolkata(Bhawanipore),Not Available,Diploma / Certification in Architectural Drafting or related field Proficient in AutoCA...,Not Available,1 Day Ago,3
Graphic Designer,Dental Avenue Ind,3.8,"Video Editing, Indesign, Motion Graphics, Illustrator, Photoshop, Posters, Adobe Premiere Pro, Canva",2.5-3 Lacs PA,Gurugram,2-3 Yrs,"Bachelors degree in Graphic Design, Visual Communication, or a related field2+ years of...",18  Reviews,1 Day Ago,3
Interior Designer,Interio Mart,1.8,"Sketchup, enscape, AutoCAD, Interior Designing, Design, Interiors",3.5-5 Lacs PA,Bengaluru(Banaswadi +4),3-5 Yrs,"The role involves to create functional, safe, and aesthetically pleasing spaces for cli...",2  Reviews,1 Day Ago,3
Horticulturist,Garden of Joy,2.8,"Horticulture, People Handling, Project Management, Landscaping, Customer Management, Management, Handling, Project",3-5 Lacs PA,Hybrid - Bangalore/Bengaluru,1-6 Yrs,Handle maintenance vertical Scheduling of maintenance clients Close AMC contracts Overs...,2  Reviews,1 Day Ago,3
Interior Designer,Not Available,Not Available,"Tally, AutoCAD, Interior Designing, Interiors, Design",3-6 Lacs PA,Bengaluru,1-6 Yrs,Work with interior design team to develop design solutions Research concepts and materi...,Not Available,1 Day Ago,3
Cost Estimation Engineer (Corporate interior fit-outs),AD Square Projects India,4.0,"Estimation Engineering, Rate Analysis, Cost Estimation, Tender Analysis, Tender Estimation, Boq Preparation, Contractual Tendering, Tender Documentation",3-6.5 Lacs PA,Pune(Viman Nagar),2-6 Yrs,"You will maintain all the documents for total compliance related to design, contractors...",7  Reviews,1 Day Ago,4
Graphic Designer,Not Available,Not Available,"Banners, Photoshop, Graphics, Ui/Ux, Image Editing, Photo Editing, Editing, Graphic designing",Not disclosed,Kolkata,0-1 Yrs,We are looking for a fresher/mid-level Graphic Designer to join our team. As a Graphic ...,Not Available,1 Day Ago,4
Graphic Designer || Min 1 Year Experience || Hyderabad,Not Available,Not Available,"Graphic Designing, Ui/Ux, Aftereffects, Adobe Premiere, Illustrator, Photoshop, Indesign, Design",1.5-3.5 Lacs PA,Hyderabad(Khajaguda),1-3 Yrs,"Experience with video editing and motion graphics (Adobe Premiere Pro, After Effects) a...",Not Available,1 Day Ago,4
Graphic Designer / Ranchi,Jharkhand Rai University,3.7,"Video Editing, Motion Graphics, Graphic Designing, Illustrator Packaging, Visual Effects, Adobe Premiere, Adobe After Effects, 3D Animation",Not disclosed,Ranchi,0-2 Yrs,"Job Description:Knowledge of Graphic Design Principles, Layout, Typography, Colour Sche...",28  Reviews,1 Day Ago,4
Civil Draftsman,Not Available,Not Available,"Drafting, English, Draftsman Activities, Tamil, Civil, Draft",3.6-4.2 Lacs PA,Chennai(Sholinganallur),6-9 Yrs,Responsibilities:* Prepare construction drawings using CAD software* Collaborate with p...,Not Available,1 Day Ago,4
Interior Designer,NoBroker,3.2,"Sketchup, AutoCAD, VRAY, Design, Interior designing, Interiors",3-5.5 Lacs PA,"Pune, Mumbai (All Areas)",1-6 Yrs,Candidate should have an exceptional designer skills with strong conceptual skillsCandi...,2133  Reviews,1 Day Ago,4
Senior Graphic Designer - 4+ Years - Mumbai/Gurgaon (Hybrid),Not Available,Not Available,"Adobe Illustrator, Adobe Photoshop, Sr. Graphic Designer, Graphic Design Jobs, Motion Graphics, Video Content Creation, Leadership in Design, Start-up Jobs",Not disclosed,"Hybrid - Gurugram, Mumbai (All Areas)",5-10 Yrs,Requirements: . Bachelors degree or diploma in Graphic Design or a related disciplineSt...,Not Available,1 Day Ago,4
Graphic Designer - pune,Not Available,Not Available,"Digital Agency, Adobe After Effects, Graphic Designing, Photoshop, abode creative suite, Social Media, Digital Media, Graphics",Not disclosed,Pune,3-7 Yrs,3yr exp industry working on the agency side /in-house for a highly commercial brand. Ad...,Not Available,1 Day Ago,4
Gear Design - Manager,Not Available,Not Available,"Design, Industrial Gear Box, Gear Manufacturing, Industrial, Manufacturing, Box, Gear Design, Gears",10.8-12 Lacs PA,Pune,8-13 Yrs,Responsibilities:* Lead gear design projects from concept to production* Collaborate wi...,Not Available,1 Day Ago,4
Urgent Hiring For Big4 Consultancy -Conversational AI Designer,Not Available,Not Available,"Conversational AI, Node.Js, Dialogflow, Python, Chatbot Designer, Consultancy, Chatbot, Hiring",Not disclosed,Hyderabad,3-8 Yrs,Experience:3y+ .,Not Available,1 Day Ago,4
Visual Designer - 5 + years - Bangalore/Pune,Not Available,Not Available,"Visual Design, Typography, Illustration, User Interface Designing, Interaction Design, Illustrate Design, Visualiser, Illustrator",Not disclosed,"Pune, Bengaluru",4-9 Yrs,Requirements: . Bachelors degree in Visual Communications or a related field in Graphic...,Not Available,1 Day Ago,4
UI/UX Designer - 5+ years - Bangalore/Pune,Not Available,Not Available,"Ui/Ux, User Experience Design, Figma, Ux Design, Prototype, Adobe Xd, Sketching, Typography",Not disclosed,"Pune, Bengaluru",5-8 Yrs,"Requirements: . Bachelors or Masters degree in Graphic Design, Interaction Design, HCI,...",Not Available,1 Day Ago,4
"Graphic Visualizer & Designer, Digital Ad Agency @ Tardeo, Mumbai.",iMz Media Solutions,4.5,"Ui/Ux, Video Editing, User Experience Design, Figma, Graphic Designing, Banner Designing, Design Conceptualization, Canvas Apps",3.5-6 Lacs PA,Mumbai(Nariman Point +55),2-5 Yrs,"A degree in Graphic Design, Visual Arts, or a related field (preferred but not required...",27  Reviews,1 Day Ago,4
Interior Designer & Architects,Not Available,Not Available,"AutoCAD, REVIT Architecture, Interior Decoration, Design Architecture, Interior Designing, Sketchup, Interior Architecture, Architectural Design",3.75-4.75 Lacs PA,Hyderabad,3-5 Yrs,"Design and develop layouts, select materials, create mood boards, and collaborate with ...",Not Available,1 Day Ago,4
Graphic Design Associate,91 Springboard Business Hub,4.5,"Canva, Graphic Design, Brochure Design, design processes, Digital Marketing Design, Graphics, Brochures, Process",Not disclosed,Mumbai,2-3 Yrs,"Designation: Graphic Design AssociateOffice Location: BKC, MumbaiYears of experience: 2...",12  Reviews,1 Day Ago,4
Hiring ! Urgently Hiring || Design Engineer -Pipes & Fittings @ Rajkot,Epp Composites,3.4,"Piping Design Engineer, Piping Design, Pipe fitting Design, Piping Engineering, AutoCAD, Design Engineering, AutoCAD 3D, Piping Layout",Not disclosed,Rajkot,3-8 Yrs,"Roles & ResponsibilitiesDesign and develop pipes, fittings, reducers, tees,  and relate...",127  Reviews,1 Day Ago,4
Sales Head,Saraswatii Global,3.6,"Architecture, Home Textiles, Textile, Sales","50,000-1 Lacs PA","Jaipur, Delhi / NCR, Mumbai (All Areas)(Andheri West)",10-20 Yrs,"Minimum Experience 08+ Year. Industry Carpet / Rug, Textile, Soft Goods, Handicraft etc...",44  Reviews,1 Day Ago,4
Trainee InDesign,Perfect Digital Media Resources,4.1,"Adobe Acrobat, Indesign, Illustrator, Adobe, Training",Not disclosed,Chennai(Kilpauk),0-2 Yrs,Good communication and teamwork skills,27  Reviews,1 Day Ago,4
Interior Designer,DesignCafe,2.8,"Sketchup, AutoCAD, Communication Skills, Presentation Skills, Teamwork, Modular, Management Skills, Interior Designing",1.75-5.5 Lacs PA,Ahmedabad,2-4 Yrs,Diploma or bachelors degree in Interior Design or a related field. Proven experience as...,4  Reviews,1 Day Ago,4
Graphic Designer,Not Available,Not Available,"Creative Designing, Graphic Designing, Adobe Creative Suite, Image Editing & Retouching, Branding & Visual Identity, Typography and Layout Skills, Print Advertisement Design, Catalog/Brochure Design",Not disclosed,Mumbai,1-5 Yrs,"Graphic Designer About Staffing Global In the ever-evolving global business landscape, ...",Not Available,1 Day Ago,4
